locus_tag	gene	8hr_r1	8hr_r2	8hr_r3	8hr (Avg)
SL1344_0001	thrL	6367.95	4438.15	8134.67	6313.59
SL1344_0002	thrA	26.89	43.85	53.95	41.56
SL1344_0003	thrB	194.34	251.08	295.5	246.97
SL1344_0004	thrC	210.59	284.81	309.87	268.42
SL1344_0005	yaaA	0	29.93	68.74	32.89
SL1344_0006	yaaJ	46.29	55.27	86.7	62.75
SL1344_0007	talB	113.67	246.78	185.84	182.1
SL1344_0008	mog	20.4	13.07	15.01	16.16
SL1344_0009	yaaH	0	10.22	5.22	5.14
SL1344_0010	htgA	0	0	0	0
SL1344_0011	yaaI	0	4.77	21.92	8.9
SL1344_0012	dnaK	47.11	62.38	47.76	52.42
SL1344_0013	dnaJ	10.57	20.31	18.14	16.34
SL1344_0014		0	4.07	6.23	3.44
SL1344_0015		0	0	0	0
SL1344_0016		0	0	0	0
SL1344_0017		0	0	0	0
SL1344_0018	chiA	0	1.02	7.84	2.95
SL1344_0019		0	1.29	2.96	1.41
SL1344_0020		0	0	0	0
SL1344_0021	bcfA	0	0	0	0
SL1344_0022	bcfB	0	0	0	0
SL1344_0023	bcfC	0	0.74	2.25	1
SL1344_0024	bcfD	0	1.91	0	0.64
SL1344_0025	bcfE	0	0	0	0
SL1344_0026	bcfF	0	0	0	0
SL1344_0027	bcfG	0	0	0	0
SL1344_0028	bcfH	7.12	11.41	3.49	7.34
SL1344_0029		0	0	0	0
SL1344_0030		0	0	0	0
SL1344_0031		0	1.92	0	0.64
SL1344_0032		0	0	0	0
SL1344_0033		3.5	0	3.44	2.31
SL1344_0034		3.83	0	5.64	3.16
SL1344_0035		0	2.53	0	0.84
SL1344_0036		4.03	5.16	9.89	6.36
STnc1010	STnc1010	0	48.8	0	16.27
SL1344_0037		5.06	1.62	14.88	7.19
SL1344_0038		0	0	0	0
SL1344_0039		3.51	0	0	1.17
SL1344_0040	nhaA	30.97	38.02	116.45	61.81
SL1344_0041	nhaR	0	30.02	32.83	20.95
SL1344_0042		0	1.89	0	0.63
SL1344_0043		0	0	2.15	0.72
SL1344_0044	rpsT	709.35	718.3	1829.46	1085.7
SL1344_0045	yaaY	0	0	0	0
SL1344_0046	ribF	57.74	43.16	62.94	54.61
SL1344_0047	ileS	74.32	125.84	118.74	106.3
SL1344_0048	lspA	108.33	146.5	123.98	126.27
SL1344_0049	fkpB	13.4	38.64	26.3	26.11
SL1344_0050	ispH	25.34	58.85	49.71	44.63
SL1344_0051		5.01	6.41	9.82	7.08
SL1344_0052	rihC	0	16.76	16.04	10.93
SL1344_0053	citB2	0	11.24	12.91	8.05
SL1344_0054	citA2	3.72	10.72	10.94	8.46
SL1344_0055		0	0	1.13	0.38
SL1344_0056		0	0	0	0
SL1344_0057	oadG	0	0	0	0
SL1344_0058		0	0	0	0
SL1344_0059	citC2	0	0	0	0
SL1344_0060	citD2	0	0	0	0
SL1344_0061	citE2	0	0	0	0
SL1344_0062	citF2	0	0	1.94	0.65
SL1344_0063	citX2	0	0	0	0
SL1344_0064	citG2	0	0	0	0
SL1344_0065	dapB	36.65	96.27	82.69	71.87
DapZ	DapZ	78.16	826.15	766.71	557
SL1344_0066A		0	0	8.51	2.84
SL1344_0067	carA	15.73	40.3	23.14	26.39
SL1344_0068	carB	44.76	53.17	16.47	38.13
SL1344_0069	caiF	15.24	19.52	22.42	19.06
SL1344_0070	caiE	0	0	0	0
SL1344_0071	caiD	0	0	0	0
SL1344_0072	caiC	3.88	1.24	0	1.71
SL1344_0073	caiB	0	3.03	4.64	2.56
SL1344_0074	caiA	0	3.38	7.75	3.71
SL1344_0075	caiT	0	0	1.95	0.65
SL1344_0076	fixA	0	0	0	0
SL1344_0077	fixB	0	0	0	0
SL1344_0078	fixC	0	0	0	0
SL1344_0079	fixX	0	0	0	0
SL1344_0080	yaaU	0	4.32	15.42	6.58
SL1344_0081		0	8.38	0	2.79
SL1344_0082		419.53	421.68	510.89	450.7
STnc470	STnc470	1162.58	1752.44	1677.17	1530.73
SL1344_0083		498.05	1189.84	1842.34	1176.74
SL1344_0083A		0	272.37	802.13	358.16
SL1344_0084		22.3	20.41	9.38	17.36
SL1344_0085		0	0	0	0
SL1344_0086	yabF	22.71	10.91	27.85	20.49
SL1344_0087	kefC	0	9.32	6.34	5.22
SL1344_0088	folA	100.51	32.2	49.3	60.67
SL1344_0089	apaH	56.77	86.38	104.43	82.53
SL1344_0090	apaG	47.89	132.94	54.81	78.55
SL1344_0091	ksgA	109.95	108.01	89.88	102.61
